#v1.1-loci	v2.0.0-loci
OG0008144	0539
OG0009364	0540
OG0012044	0541
OG0012448	0542
OG0008700	0543
OG0010085	0544
OG0007495	0545
OG0012381	0546
OG0007062	0547
OG0008054	0548
OG0009494	0549
OG0013048	0550
OG0010759	0551
OG0013768	0552
OG0011977	0553
OG0010852	0554
OG0009064	0555
OG0010220	0556
OG0012181	0557
OG0010952	0558
OG0012194	0559
OG0011261	0560
OG0011461	0561
OG0013003	0562
OG0012197	0563
OG0011501	0564
OG0011496	0565
OG0010822	0566
OG0011014	0567
OG0010803	0568
OG0014589	0569
OG0009829	0570
OG0011164	0571
OG0008112	0572
OG0008737	0573
OG0006802	0574
OG0011491	0575
OG0012254	0576
OG0011013	0577
OG0010819	0578
OG0012517	0579
OG0010427	0580
OG0010165	0581
OG0009725	0582
OG0006888	0583
OG0012430	0584
OG0011514	0585
OG0006359	0586
OG0011986	0587
OG0007762	0588
OG0012123	0589
OG0012161	0590
OG0012760	0591
OG0012437	0592
OG0003316	0593
OG0008988	0594
OG0012861	0595
OG0010916	0596
OG0007532	0597
OG0011708	0598
OG0013311	0599
OG0013054	0600
OG0005596	0601
OG0011398	0602
OG0010187	0603
OG0009072	0604
OG0013837	0605
05_2582	0606
OG0011078	0607
OG0007967	0608
OG0006640	0609
OG0012511	0610
08_357	0611
08_61	0612
OG0009911	0613
OG0010270	0614
OG0006615	0615
01_1063	0616
OG0010230	0617
OG0009201	0618
OG0012558	0619
OG0011515	0620
OG0011302	0621
OG0008203	0622
OG0011487	0623
OG0011008	0624
OG0010301	0625
OG0010549	0626
OG0006938	0627
OG0010396	0628
08_3255	0629
OG0007932	0630
OG0012257	0631
OG0006000	0632
OG0012753	0633
OG0012838	0634
OG0007818	0635
OG0013479	0636
OG0008716	0637
OG0010531	0638
OG0012119	0639
OG0010796	0640
OG0009568	0641
OG0010891	0642
OG0006747	0643
OG0015584	0644
OG0008277	0645
OG0010945	0646
OG0016388	0647
OG0011149	0648
OG0011330	0649
OG0011657	0650
OG0011819	0651
OG0009457	0652
OG0009443	0653
OG0011813	0654
OG0007393	0655
OG0010193	0656
OG0011480	0657
OG0014143	0658
OG0012135	0659
OG0009760	0660
OG0011411	0661
OG0005504	0662
OG0009423	0663
OG0012796	0664
OG0011654	0665
OG0008665	0666
OG0008482	0667
OG0011511	0668
OG0006111	0669
OG0008391	0670
OG0009481	0671
OG0010553	0672
01_2281	0673
OG0011615	0674
OG0012117	0675
OG0008345	0676
OG0008667	0677
OG0007083	0678
OG0012071	0679
OG0011444	0680
OG0006175	0681
OG0009040	0682
OG0011096	0683
OG0012492	0684
OG0008625	0685
OG0011440	0686
OG0006690	0687
OG0013516	0688
OG0012054	0689
OG0010003	0690
OG0010978	0691
OG0011334	0692
OG0011643	0693
OG0012509	0694
OG0011283	0695
OG0011390	0696
OG0011958	0697
OG0011470	0698
OG0012621	0699
OG0011532	0700
OG0008265	0701
01_985	0702
OG0008262	0703
OG0006833	0704
OG0008126	0705
OG0013800	0706
OG0010883	0707
OG0010601	0708
OG0009899	0709
OG0010853	0710
OG0008507	0711
OG0012016	0712
OG0010953	0713
OG0008837	0714
OG0004422	0715
OG0012425	0716
OG0010569	0717
OG0006667	0718
OG0009175	0719
OG0008692	0720
OG0010127	0721
OG0012622	0722
OG0010112	0723
01_2295	0724
OG0010361	0725
OG0011045	0726
OG0010491	0727
OG0011605	0728
OG0012098	0729
OG0005123	0730
01_2651	0731
OG0012188	0732
OG0012164	0733
OG0011459	0734
OG0010958	0735
OG0009717	0736
OG0011606	0737
OG0011079	0738
OG0010403	0739
02_259	0740
OG0009963	0741
OG0012039	0742
OG0010632	0743
OG0012409	0744
OG0013295	0745
03_732	0746
OG0011040	0747
OG0011434	0748
OG0012034	0749
OG0012854	0750
OG0010298	0751
OG0010976	0752
OG0013357	0753
OG0010603	0754
OG0012806	0755
OG0011518	0756
OG0012759	0757
OG0010466	0758
OG0012308	0759
OG0010078	0760
OG0013107	0761
OG0015686	0762
OG0008356	0763
OG0011949	0764
OG0012421	0765
OG0011172	0766
OG0012149	0767
OG0013312	0768
OG0009944	0769
OG0006973	0770
OG0007740	0771
OG0011533	0772
OG0012392	0773
10_1274	0774
OG0013248	0775
OG0010859	0776
OG0009367	0777
OG0008067	0778
OG0009026	0779
OG0008757	0780
OG0010548	0781
OG0012547	0782
OG0011624	0783
OG0011723	0784
OG0008817	0785
OG0010784	0786
OG0011412	0787
OG0011627	0788
OG0006459	0789
OG0009408	0790
OG0010379	0791
OG0006758	0792
OG0015013	0793
OG0008432	0794
OG0011982	0795
05_3540	0796
OG0010283	0797
OG0011743	0798
OG0011685	0799
OG0011112	0800
OG0010848	0801
OG0011510	0802
OG0010389	0803
OG0010059	0804
OG0009934	0805
OG0012858	0806
OG0012467	0807
OG0012142	0808
OG0008941	0809
OG0007348	0810
OG0011644	0811
OG0010380	0812
OG0007221	0813
OG0010633	0814
OG0011180	0815
OG0009756	0816
OG0009650	0817
OG0008410	0818
OG0012398	0819
OG0012631	0820
OG0010778	0821
OG0010172	0822
OG0012820	0823
OG0012174	0824
OG0011506	0825
OG0012153	0826
OG0012396	0827
OG0012540	0828
OG0012139	0829
OG0013050	0830
OG0013055	0831
OG0011457	0832
OG0009212	0833
OG0011679	0834
OG0010811	0835
OG0011602	0836
OG0012799	0837
OG0011994	0838
OG0008884	0839
OG0011759	0840
OG0019172	0841
OG0002262	0842
OG0010479	0843
OG0014520	0844
OG0010082	0845
OG0012821	0846
OG0012536	0847
OG0010752	0848
OG0016586	0849
03_3204	0850
OG0015575	0851
OG0010563	0852
OG0014154	0853
OG0011745	0854
OG0012112	0855
OG0005317	0856
OG0012852	0857
OG0017323	0858
OG0012109	0859
OG0012280	0860
OG0011474	0861
OG0013270	0862
OG0017530	0863
OG0016552	0864
OG0012550	0865
OG0012640	0866
OG0012587	0867
OG0012835	0868
OG0010771	0869
OG0012538	0870
OG0015558	0871
OG0015038	0872
OG0015797	0873
OG0009315	0874
OG0008288	0875
OG0021374	0876
OG0017302	0877
OG0007522	0878
OG0012510	0879
OG0008759	0880
OG0010478	0881
OG0011992	0882
OG0009180	0883
OG0011701	0884
OG0012272	0885
OG0011694	0886
OG0003732	0887
OG0006305	0888
OG0009165	0889
OG0011564	0890
OG0011282	0891
OG0011155	0892
OG0008413	0893
OG0010534	0894
